log10_N,N,max_pmin
1.00,10,3
1.10,14,5
1.20,16,5
1.30,20,5
1.40,26,5
1.50,32,7
1.60,40,7
1.70,52,7
1.80,64,7
1.90,80,7
2.00,102,19
2.10,126,19
2.20,160,19
2.30,200,19
2.40,252,23
2.50,318,31
2.60,400,31
2.70,502,31
2.80,632,47
2.90,796,47
3.00,1002,73
3.10,1260,73
3.20,1586,73
3.30,1996,73
3.40,2512,73
3.50,3164,103
3.60,3982,103
3.70,5012,103
3.80,6310,139
3.90,7944,173
4.00,10002,173
4.10,12590,173
4.20,15850,173
4.30,19954,173
4.40,25120,173
4.50,31624,173
4.60,39812,173
4.70,50120,211
4.80,63096,233
4.90,79434,293
5.00,100000,293
5.10,125894,313
5.20,158490,331
5.30,199528,383
5.40,251190,383
5.50,316228,383
5.60,398108,383
5.70,501188,389
5.80,630958,523
5.90,794330,523
6.00,1000000,523
6.10,1258926,601
6.20,1584894,601
6.30,1995264,601
6.40,2511888,601
6.50,3162278,601
6.60,3981072,751
6.70,5011874,751
6.80,6309574,751
6.90,7943284,751
7.00,10000000,751
7.10,12589256,829
7.20,15848932,829
7.30,19952624,829
7.40,25118866,929
7.50,31622778,997
7.60,39810718,1039
7.70,50118724,1039
7.80,63095736,1093
7.90,79432824,1093
8.00,100000000,1093
8.10,125892542,1163
8.20,158489320,1163
8.30,199526232,1321
8.40,251188644,1321
8.50,316227768,1321
8.60,398107172,1427
8.70,501187234,1583
8.80,630957346,1583
8.90,794328236,1789
9.00,1000000000,1789
